epoch,open,high,low,close
1735689600,99897.0839,100092.6298,98872.5279,99203.0351
1735696800,99181.433,99645.6973,98172.8131,99176.2803
1735704000,99161.747,100010.5614,98204.4472,99397.2001
1735711200,99410.2152,99678.8934,97569.4228,97823.5681
1735718400,97827.8222,99348.8891,97827.8222,98427.1833
1735725600,98411.191,98471.3339,96845.2122,97622.1675
1735732800,97631.8367,97887.8423,96164.6913,97742.1239
1735740000,97724.7099,98308.2412,97283.444,97380.0224
1735747200,97361.2059,99035.7474,96726.6414,98605.0733
1735754400,98558.6254,98799.6499,97549.4014,98288.3988
1735761600,98284.5664,98284.5664,95770.8921,95919.8702
1735768800,95889.7326,96367.8016,94830.3784,95412.0951
1735776000,95402.3388,96418.1017,94937.3706,96023.7231
1735783200,96027.578,97494.7117,95155.21,97254.0501
1735790400,97278.2299,99710.5409,97197.6607,99710.5409
1735797600,99719.8242,100144.1601,98625.3603,98660.1614
1735804800,98644.9297,98855.4194,97859.3489,98167.1608
1735812000,98171.8517,98479.9895,96649.4283,96944.0597
1735819200,96914.5586,98190.6927,96802.5478,97128.8187
1735826400,97126.3929,97623.8156,96097.8768,96660.2269
1735833600,96671.78,99354.4029,96557.7309,98728.806
1735840800,98710.393,99487.5766,98426.7746,99408.3393
1735848000,99439.0244,101697.0302,98965.1307,101599.3623
1735855200,101648.3689,103300.2938,101146.0007,103222.6907
1735862400,103185.9873,103567.8589,100584.2216,100941.5769
1735869600,100945.0579,102420.1011,100223.5795,102404.2207
1735876800,102412.3825,102747.8258,101591.0318,102336.1981
1735884000,102361.3627,103158.9711,101962.3925,102102.6903
1735891200,102091.0767,102387.8491,100950.1193,101219.7265
1735898400,101247.3337,101867.1442,100025.0609,100727.0474
1735905600,100725.9204,100968.6484,99402.1823,100574.3094
1735912800,100591.1464,101782.5879,100193.1262,101256.8649
1735920000,101238.6468,101277.4173,99642.7592,100249.9656
1735927200,100284.0796,101097.1794,99137.2707,99631.4435
1735934400,99615.4127,100722.0705,99000.9462,99105.1077
1735941600,99144.2707,101024.6037,98941.7479,100844.7538
1735948800,100860.6433,102923.9993,100777.0102,102096.9265
1735956000,102094.3512,103897.445,101431.2522,102559.5653
1735963200,102548.2356,103104.7422,101355.3022,102491.5033
1735970400,102527.8714,103679.0544,101647.8012,101647.8012
1735977600,101640.3861,102701.8623,101544.1486,102092.4766
1735984800,102099.3158,102451.3497,100781.5113,101528.8855
1735992000,101535.4061,101575.7699,98100.5373,98794.3133
1735999200,98819.6608,99437.0635,98585.1905,98841.827
1736006400,98829.5261,101252.1501,98602.9002,100545.1983
1736013600,100552.2049,101606.0865,100308.1693,100466.5083
1736020800,100466.0492,100938.8072,99021.9441,99302.8899
1736028000,99300.9823,100922.7467,98755.5658,100800.2982
1736035200,100822.5638,101071.432,100120.1528,100646.9714
1736042400,100685.2416,102897.803,100125.6463,102452.7905
1736049600,102442.3753,102860.4534,101366.381,102191.7538
1736056800,102193.5226,104629.4495,102134.7012,103491.3799
1736064000,103494.1006,105711.3935,103137.4811,105335.2935
1736071200,105381.8896,106516.6512,104704.6172,104979.9925
1736078400,104971.7773,107441.9993,104841.5956,106736.3354
1736085600,106767.4359,106938.8997,104371.7995,105190.3134
1736092800,105163.0239,105214.6316,103861.4728,104506.7076
1736100000,104500.6229,106850.2599,104481.2348,106816.5917
1736107200,106810.5146,106859.9663,103218.6861,103431.5435
1736114400,103444.3601,104110.9779,102590.1204,102651.4237
1736121600,102626.6447,103865.4475,102145.256,102529.1212
1736128800,102539.7264,103106.888,100828.6576,101695.538
1736136000,101698.5456,102043.7524,99483.7179,99717.5281
1736143200,99709.0499,100058.8315,98955.1704,99878.1776
1736150400,99861.5845,101312.3454,99733.8047,100999.5135
1736157600,101006.3737,101863.7669,100750.5387,101207.7205
1736164800,101212.6172,102034.26,100679.3284,102026.0063
1736172000,102042.0932,103221.573,101708.5826,102435.6098
1736179200,102388.882,102589.8247,100338.7151,100671.2162
1736186400,100671.4824,101285.7055,99921.9616,100802.7339
1736193600,100833.2893,101686.9294,100431.8586,100431.8586
1736200800,100428.1015,101285.3519,99579.0839,100657.0498
1736208000,100666.365,101619.8627,100163.0816,100222.4582
1736215200,100221.9959,101392.8761,100185.9122,101147.2483
1736222400,101138.5299,103195.6429,100633.9826,102871.021
1736229600,102878.4908,103041.8227,101448.9814,101739.7949
1736236800,101744.8006,102416.9531,100179.5728,101168.2502
1736244000,101173.2207,102924.284,100963.9807,102366.497
1736251200,102361.0946,102859.1088,101704.0491,102759.7397
1736258400,102759.34,103399.8592,100572.6604,101290.2118
1736265600,101283.3146,101969.4824,99760.4219,99868.4051
1736272800,99872.4695,101984.0125,99597.4529,101452.2853
1736280000,101446.1425,102197.1185,100733.8042,102168.4521
1736287200,102172.4013,103548.3232,102084.0456,102436.7346
1736294400,102472.113,104193.4026,102077.3391,103877.5572
1736301600,103876.7109,104091.2288,102364.1227,102541.0518
1736308800,102565.0986,103041.0175,101502.673,102329.0089
1736316000,102355.8504,102715.593,100620.3037,100811.8212
1736323200,100800.6615,103441.4597,100800.6615,102408.2542
1736330400,102448.2031,102636.7836,101318.262,102106.8239
1736337600,102095.832,103183.2889,101601.563,101793.9957
1736344800,101793.3011,102070.4101,100316.5093,100490.9459
1736352000,100482.4037,101435.5854,99866.3873,101276.939
1736359200,101295.3062,101571.9798,100260.0319,100535.8507
1736366400,100590.0445,101908.1716,99392.416,99760.8379
1736373600,99769.6054,100694.7466,98889.029,100675.744
1736380800,100689.5621,101779.8933,100058.3103,101272.5284
1736388000,101273.1251,102240.1891,100966.4845,101573.9597
1736395200,101588.9868,103464.0715,101091.3979,101297.4882
1736402400,101250.4929,102873.6887,100539.6216,102717.7645
1736409600,102691.0998,103345.0698,101002.8758,101278.5591
1736416800,101292.4275,101480.1599,99881.3478,100148.5642
1736424000,100154.9687,101240.6308,99709.4202,100199.1548
1736431200,100200.541,101219.9373,100002.2629,101093.3099
1736438400,101111.7904,101518.4837,99185.1404,100711.1283
1736445600,100719.2544,101158.0883,99981.0436,100130.3056
1736452800,100135.9801,100356.1521,98929.1573,98989.0775
1736460000,99004.7212,99347.782,97726.6878,98347.4534
1736467200,98341.2111,99675.5324,98131.3357,99620.6693
1736474400,99645.7548,99938.6475,97554.2276,97722.9868
1736481600,97716.0227,97905.3563,96295.0611,97819.8938
1736488800,97817.632,98890.9862,96789.5172,98688.698
1736496000,98657.911,99625.4529,98231.9559,98918.6093
1736503200,98915.827,99857.7861,98455.8333,98605.62
1736510400,98632.713,99818.214,97887.5593,98334.1819
1736517600,98375.6984,99023.0468,97654.4475,98340.229
1736524800,98356.7089,99158.2085,97628.9393,97823.39
1736532000,97810.0795,99340.5278,97700.7467,98703.3008
1736539200,98706.4252,98830.327,96671.7988,96832.0216
1736546400,96819.1134,98453.6872,96463.6751,97976.275
1736553600,97975.135,98575.0754,96963.3465,97984.2466
1736560800,97981.079,99868.4867,97675.8364,99856.4902
1736568000,99859.0689,100391.4674,99186.9987,99992.5467
1736575200,100001.2414,100026.413,97171.7523,97642.5079
1736582400,97650.6665,97927.1707,96318.8201,96718.0295
1736589600,96715.2381,97615.2136,95586.1493,97385.6058
1736596800,97367.5334,99422.0141,96882.5896,99335.5471
1736604000,99329.3104,100031.8797,98395.0213,98712.5214
1736611200,98691.7346,98759.3949,97192.3629,98552.9359
1736618400,98540.968,99779.6092,98496.5809,99456.1563
1736625600,99471.4747,100467.9933,98309.3284,100016.2886
1736632800,100027.6608,101177.2645,99430.846,101161.9542
1736640000,101152.9593,102192.8545,101129.5821,101676.0544
1736647200,101667.3656,103122.3175,101550.2883,102554.1219
1736654400,102567.1118,103099.4976,101767.6665,102691.7986
1736661600,102739.0063,104291.8022,102580.323,103286.2354
1736668800,103282.3139,103290.8672,100886.7315,101408.8986
1736676000,101399.1944,103193.6641,101057.0528,103003.2513
1736683200,103014.0199,104086.8496,102895.0309,102923.0017
1736690400,102953.3598,103155.5861,101777.1958,102768.3985
1736697600,102781.3944,103648.0088,101906.2896,102943.2434
1736704800,102954.5368,103454.2982,101954.1159,101954.1159
1736712000,101940.2941,102095.9915,100362.6972,101494.2612
1736719200,101457.183,101499.0282,100266.9691,100652.0318
1736726400,100655.6825,101795.7073,100231.6151,100457.4371
1736733600,100440.3749,100620.6815,98118.4285,98237.8829
1736740800,98233.1064,99373.9051,97926.9774,99159.3461
1736748000,99178.0052,100821.4945,99021.9271,100717.304
1736755200,100721.704,101351.8104,100013.7838,100242.2164
1736762400,100229.504,101638.4846,99279.7714,100153.9288
1736769600,100161.127,100924.8857,99680.3232,100074.8629
